Alfa   Cl   Cd   Cm
-16.06   -0.425   0.22486   0.0475
-15.51   -0.43   0.21656   0.0449
-15.06   -0.461   0.21133   0.0450
-14.59   -0.496   0.20807   0.0447
-14.11   -0.567   0.20143   0.0381
-13.70   -0.682   0.07704   -0.0080
-13.24   -0.719   0.04965   -0.0332
-12.75   -0.755   0.03867   -0.0428
-12.27   -0.77   0.03292   -0.0469
-11.75   -0.774   0.02852   -0.0464
-11.18   -0.77   0.02482   -0.0469
-10.77   -0.756   0.02269   -0.0464
-10.23   -0.736   0.01991   -0.0448
-9.74   -0.711   0.01832   -0.0428
-9.22   -0.68   0.01682   -0.0411
-8.21   -0.612   0.01439   -0.0396
-7.19   -0.529   0.01263   -0.0383
-6.16   -0.434   0.01108   -0.0377
-5.14   -0.337   0.00961   -0.0375
-4.13   -0.237   0.00824   -0.0373
-3.11   -0.127   0.00777   -0.0386
-2.07   -0.014   0.00765   -0.0393
-1.04   0.102   0.00744   -0.0408
0.02   0.217   0.00743   -0.0419
1.03   0.33   0.00761   -0.0428
2.04   0.445   0.00776   -0.0444
3.10   0.571   0.00801   -0.0470
4.11   0.683   0.00827   -0.0478
5.13   0.792   0.00858   -0.0483
6.16   0.902   0.00874   -0.0491
7.19   1.014   0.00908   -0.0505
7.71   1.068   0.00936   -0.0506
8.22   1.12   0.00965   -0.0504
8.73   1.168   0.00994   -0.0498
9.25   1.207   0.01046   -0.0478
9.56   1.227   0.01163   -0.0462
9.77   1.229   0.01283   -0.0441
10.27   1.215   0.01927   -0.0378
10.76   1.192   0.02461   -0.0342
11.26   1.173   0.0356   -0.0399
11.76   1.148   0.04457   -0.0498
12.24   1.126   0.05322   -0.0515
13.22   1.103   0.06634   -0.0473
14.23   1.093   0.07637   -0.0451
15.23   1.077   0.08875   -0.0440
16.21   1.06   0.1042   -0.0449
17.20   1.038   0.1175   -0.0467
18.20   1.047   0.1325   -0.0503
19.20   1.043   0.1516   -0.0552
20.19   1.04   0.1720   -0.0620
21.18   1.029   0.1976   -0.0701
22.16   1.023   0.2282   -0.0816
23.14   1.007   0.2614   -0.0953
23.55   0.829   0.4164   -0.1343
24.06   0.854   0.4358   -0.1406
25.06   0.877   0.4657   -0.1485
26.06   0.89   0.4914   -0.1532
27.06   0.953   0.5415   -0.1708
28.06   0.976   0.5736   -0.1789
29.06   1.016   0.6156   -0.1908
30.06   1.041   0.6519   -0.2022
